"filename", "language", "C++", "CMake Cache", "CMake", "JSON", "Markdown", "Log", "Makefile", "C", "TypeScript", "comment", "blank", "total"
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/reflection.h", "C++", 403, 0, 0, 0, 0, 0, 0, 0, 0, 40, 62, 505
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/rng.h", "C++", 96, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 111
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/rtw_stb_image.h", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/sampler.cpp", "C++", 133, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25, 166
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/sampler.h", "C++", 69, 0, 0, 0, 0, 0, 0, 0, 0, 10, 13, 92
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/samplers/random.cpp", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 46
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/samplers/random.h", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 26
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/samplers/zerotwosequence.cpp", "C++", 39, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 52
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/samplers/zerotwosequence.h", "C++", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 24
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/sampling.cpp", "C++", 111, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20, 139
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/sampling.h", "C++", 111, 0, 0, 0, 0, 0, 0, 0, 0, 14, 16, 141
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/scene.cpp", "C++", 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 40
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/scene.h", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 49
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/shape.cpp", "C++", 67, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 72
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/shape.h", "C++", 35, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 55
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/shapes/disk.cpp", "C++", 80, 0, 0, 0, 0, 0, 0, 0, 0, 17, 22, 119
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/shapes/disk.h", "C++", 29, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 41
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/shapes/heightfield.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 57
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/shapes/heightfield.h", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 17
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/shapes/plymesh.cpp", "C++", 209, 0, 0, 0, 0, 0, 0, 0, 0, 42, 42, 293
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/shapes/plymesh.h", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 17
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/shapes/sphere.cpp", "C++", 211, 0, 0, 0, 0, 0, 0, 0, 0, 44, 46, 301
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/shapes/sphere.h", "C++", 40, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 49
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/shapes/triangle.cpp", "C++", 543, 0, 0, 0, 0, 0, 0, 0, 0, 92, 79, 714
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/shapes/triangle.h", "C++", 96, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 100
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/sobolmatrices.cpp", "C++", 26949, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26956
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/sobolmatrices.h", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 20
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/spectrum.cpp", "C++", 1150, 0, 0, 0, 0, 0, 0, 0, 0, 86, 40, 1276
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/spectrum.h", "C++", 440, 0, 0, 0, 0, 0, 0, 0, 0, 15, 22, 477
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/stats.cpp", "C++", 291, 0, 0, 0, 0, 0, 0, 0, 0, 29, 42, 362
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/stats.h", "C++", 292, 0, 0, 0, 0, 0, 0, 0, 0, 9, 29, 330
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/stringprint.h", "C++", 71, 0, 0, 0, 0, 0, 0, 0, 0, 34, 12, 117
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/test.cc", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/texture.cpp", "C++", 188, 0, 0, 0, 0, 0, 0, 0, 0, 19, 25, 232
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/texture.h", "C++", 87, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 118
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/textures/constant.cpp", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/textures/constant.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 31
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/transform.cpp", "C++", 1111, 0, 0, 0, 0, 0, 0, 0, 0, 40, 66, 1217
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/transform.h", "C++", 374, 0, 0, 0, 0, 0, 0, 0, 0, 14, 25, 413
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/twray.cpp", "C++", 327, 0, 0, 0, 0, 0, 0, 0, 0, 15, 75, 417
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/twray.h", "C++", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 79
"/Users/Security/TA/C++Tutorial/RayTracing/Scripts/vec3pre.h", "C++", 207, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20, 236
"Total", "-", 58303, 629, 771, 2928, 1, 505, 915, 1128, 6, 5167, 4927, 75280
