Date : 2022-12-26 10:47:16
Directory : /Users/Security/TA/C++Tutorial/RayTracing/TWRay
Total : 165 files,  62266 codes, 5048 comments, 4421 blanks, all 71735 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/shapes/disk.cpp                                                         | C++         |         80 |         17 |         22 |        119 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/shapes/disk.h                                                           | C++         |         29 |          4 |          8 |         41 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/shapes/heightfield.cpp                                                  | C++         |         45 |          4 |          8 |         57 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/shapes/heightfield.h                                                    | C++         |         10 |          2 |          5 |         17 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/shapes/plymesh.cpp                                                      | C++         |        209 |         42 |         42 |        293 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/shapes/plymesh.h                                                        | C++         |         11 |          1 |          5 |         17 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/shapes/sphere.cpp                                                       | C++         |        211 |         45 |         46 |        302 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/shapes/sphere.h                                                         | C++         |         40 |          3 |          7 |         50 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/shapes/triangle.cpp                                                     | C++         |        543 |         92 |         79 |        714 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/shapes/triangle.h                                                       | C++         |         96 |          1 |          3 |        100 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/textures/constant.cpp                                                   | C++         |         12 |          1 |          4 |         17 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/textures/constant.h                                                     | C++         |         20 |          3 |          8 |         31 |
| Total                                                                                                                       |             |     62,266 |      5,048 |      4,421 |     71,735 |
+-----------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
